Year,GDP (current US$),GDP per capita (current US$),"Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)",Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),"Unemployment, total (% of total labor force) (modeled ILO estimate)",unhcr_asylum,unhcr_refugees_origin,unhcr_refugees_returnees,unhcr_idp,unhcr_idp_returnees,conflict_bd_best,conflict_bd_low,conflict_bd_high,conflict_dyad_count,onesided_fatality_best,onesided_fatality_low,onesided_fatality_high,military_sb_deaths_best,military_intrastate_deaths_best,Country
2012,182591753827.949,3951.34228515625,0.568727971803862,71.09,16.5,7.529,1838.0,25248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ukraine
2013,190498811460.028,4129.89697265625,-0.238948626045407,71.474,12.5,7.17,1873.0,5154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ukraine
2014,133503871861.723,3054.908203125,12.0718562874251,71.803,13.8,9.27,289913.0,237617.0,0.0,647000.0,0.0,4899.0,4776.0,5640.0,4.0,0.0,0.0,0.0,4901.0,4898.0,Ukraine
2015,91030967789.0717,2094.47387695313,48.6998646434424,72.686,22.7,9.14,178741.0,321399.0,0.0,1679000.0,0.0,1894.0,1739.0,1951.0,3.0,0.0,0.0,0.0,1894.0,1894.0,Ukraine
2016,93355869403.9223,2158.46118164063,13.9127101997797,73.389,21.6,9.35,48845.0,239062.0,6.0,1653000.0,0.0,697.0,488.0,766.0,2.0,0.0,0.0,0.0,699.0,697.0,Ukraine
2017,112090505081.739,2604.28759765625,14.4383227488749,73.993,17.0,9.5,34410.0,139581.0,5.0,800000.0,0.0,447.0,422.0,497.0,2.0,0.0,0.0,0.0,447.0,447.0,Ukraine
2018,130891088293.55,3059.0517578125,10.9518559353178,73.569,14.7,8.799,22576.0,93248.0,5.0,800000.0,0.0,243.0,168.0,257.0,2.0,0.0,0.0,0.0,243.0,243.0,Ukraine
2019,153883047509.577,3619.86157226563,7.88671745611133,73.92,10.6,8.194,19433.0,59844.0,0.0,730000.0,0.0,311.0,259.0,311.0,2.0,0.0,0.0,0.0,311.0,311.0,Ukraine
2020,156617722013.342,3709.76928710938,2.73249209419427,73.283,11.3,9.475,13104.0,35156.0,0.0,734000.0,0.0,196.0,113.0,257.0,2.0,0.0,0.0,0.0,196.0,196.0,Ukraine
2021,199765859570.935,4775.94580078125,9.36313917695223,71.631,11.3,9.834,12939.0,27562.0,0.0,854000.0,0.0,208.0,167.0,213.0,2.0,0.0,0.0,0.0,208.0,208.0,Ukraine
2022,161989520721.19,4199.6708984375,20.1836366617478,72.658,11.3,9.834,154197.0,5684177.0,660000.0,5914000.0,2616000.0,99530.0,72589.0,172439.0,2.0,1132.0,676.0,1691.0,99472.0,66.0,Ukraine
2023,181221517868.744,5139.59814453125,12.8490222828559,73.422,11.3,9.834,35279.0,5960362.0,399050.0,3689000.0,1318680.0,76254.0,71065.0,135105.0,1.0,314.0,13.0,417.0,76154.0,0.0,Ukraine
2024,190741262414.705,5389.47314453125,6.50198464669254,74.692,11.3,9.834,45866.0,5120036.0,209064.0,3665000.0,782000.0,102120.0,80950.0,126998.0,1.0,151.0,134.0,188.0,91762.0,0.0,Ukraine
2025,190741262414.705,5389.47314453125,6.50198464669254,74.692,11.3,9.834,40491.0,5224131.0,139251.0,3712000.0,579000.0,94741.0,87321.0,140889.0,1.0,106.0,89.0,108.0,90323.0,0.0,Ukraine
2001,36176430128.8057,1435.695683789,16.3740814963262,65.292,35.2,8.249,60604.0,530508.0,1967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,Irak
2002,32928454672.4246,1266.15961275094,19.316694601979,65.724,35.2,8.619,59811.0,422504.0,1255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,Irak
2003,21921569478.8163,817.887862499622,33.6162105992383,64.834,35.2,8.959,32861.0,368577.0,55431.0,0.0,0.0,7927.0,7927.0,13814.0,1.0,0.0,0.0,0.0,7943.0,16.0,Irak
2004,36633669269.3981,1328.37157628292,26.9619068193272,64.634,35.2,8.715,23372.0,311889.0,193990.0,0.0,0.0,4094.0,4081.0,6142.0,3.0,133.0,133.0,148.0,4132.0,4132.0,Irak
2005,50065104667.8159,1762.39360423421,36.9594809201871,64.899,35.2,8.57,22448.0,262302.0,56150.0,0.0,196000.0,2608.0,2542.0,3563.0,3.0,962.0,956.0,1083.0,2631.0,2631.0,Irak
2006,65147051918.0219,2276.55435744086,53.230962911428,64.029,35.2,8.411,36168.0,1450908.0,20226.0,0.0,150000.0,3923.0,3192.0,4123.0,3.0,650.0,555.0,833.0,3956.0,3956.0,Irak
2007,88837057319.5179,3128.99010329066,-10.0674925768978,64.428,34.66666666666667,8.646,58715.0,2309246.0,45420.0,0.0,36000.0,2212.0,2040.0,2481.0,4.0,2124.0,1566.0,2281.0,2241.0,2241.0,Irak
2008,131614434153.505,4542.96609046032,12.6628528269228,66.465,34.13333333333333,8.466,52069.0,1903516.0,25644.0,0.0,195890.0,2112.0,2098.0,2539.0,2.0,526.0,510.0,542.0,2265.0,2265.0,Irak
2009,111657580326.315,3714.71205987194,6.8736154721255,67.834,33.6,8.415,34171.0,1785215.0,38033.0,2764000.0,167740.0,1036.0,910.0,1058.0,1.0,671.0,553.0,699.0,1064.0,1064.0,Irak
2010,138516722649.573,4461.75196161555,2.8777472527476,68.092,33.06666666666667,8.267,31295.0,1683576.0,28888.0,2800000.0,294770.0,989.0,810.0,1040.0,1.0,738.0,602.0,773.0,1120.0,1120.0,Irak
2011,185749664444.444,5775.54229080293,5.801455370853,68.435,32.53333333333333,8.193,32744.0,1428306.0,67086.0,2600000.0,193610.0,864.0,737.0,959.0,2.0,322.0,300.0,341.0,1043.0,1043.0,Irak
2012,218002476129.472,6477.59618450955,6.08909641595043,68.827,32.0,7.965,28842.0,746204.0,82271.0,2100000.0,218800.0,565.0,487.0,598.0,1.0,769.0,714.0,772.0,638.0,638.0,Irak
2013,234637675128.645,6650.35282247395,1.87949800749469,69.047,32.0,9.222,49553.0,401461.0,60880.0,2100000.0,63270.0,1872.0,1723.0,1929.0,1.0,2267.0,2149.0,2343.0,1885.0,1885.0,Irak
1991,6122959183.67347,1373.37104472973,,71.813,,17.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bosnie
1992,4735044707.23969,1118.17569934079,,51.967,,18.477,0.0,437501.0,10300.0,0.0,0.0,16882.0,13977.0,19104.0,3.0,4477.0,4453.0,4705.0,20724.0,20724.0,Bosnie
1993,3630668949.83246,929.872118717018,,50.894,,19.408,0.0,618428.0,0.0,0.0,0.0,13160.0,12361.0,15407.0,5.0,553.0,532.0,994.0,13233.0,13233.0,Bosnie
1994,1255802469.1358,337.090896023259,,66.603,,20.17,0.0,776090.0,101.0,0.0,0.0,6936.0,6349.0,7953.0,5.0,282.0,282.0,383.0,7022.0,7022.0,Bosnie
1995,1866572953.73665,502.365980975339,,70.188,,20.944,0.0,769753.0,813.0,0.0,0.0,8549.0,8209.0,10514.0,3.0,8534.0,8484.0,8787.0,8855.0,8855.0,Bosnie
1996,2786045321.63743,718.933797141505,,73.454,,21.682,0.0,993868.0,100622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bosnie
1997,3671909673.04401,913.813399054859,,73.895,,22.586,0.0,849240.0,120852.0,0.0,58360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bosnie
