Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,Asylum-seekers,IDPs,"Other people in need of international protection","Stateless persons","Host community","Others of concern"
1992,Jordan,"Bosnia and Herzegovina",JOR,BIH,100,0,0,0,0,0,0
1992,"Serbia and Kosovo: S/RES/1244 (1999)","Bosnia and Herzegovina",SRB,BIH,349280,0,0,0,0,0,0
1992,Slovenia,"Bosnia and Herzegovina",SVN,BIH,72440,0,0,0,0,0,0
1992,Sweden,"Bosnia and Herzegovina",SWE,BIH,598,0,0,0,0,0,0
1992,Türkiye,"Bosnia and Herzegovina",TUR,BIH,15083,0,0,0,0,0,0
1993,"Bosnia and Herzegovina","Bosnia and Herzegovina",BIH,BIH,0,0,1290000,0,0,0,0
1993,Bulgaria,"Bosnia and Herzegovina",BGR,BIH,56,0,0,0,0,0,0
1993,Chile,"Bosnia and Herzegovina",CHL,BIH,10,0,0,0,0,0,0
1993,Cyprus,"Bosnia and Herzegovina",CYP,BIH,42,0,0,0,0,0,0
1993,Denmark,"Bosnia and Herzegovina",DNK,BIH,2712,0,0,0,0,0,0
1993,Croatia,"Bosnia and Herzegovina",HRV,BIH,287000,0,0,0,0,0,0
1993,Hungary,"Bosnia and Herzegovina",HUN,BIH,16,0,0,0,0,0,0
1993,Jordan,"Bosnia and Herzegovina",JOR,BIH,388,0,0,0,0,0,0
1993,Libya,"Bosnia and Herzegovina",LBY,BIH,50,0,0,0,0,0,0
1993,"North Macedonia","Bosnia and Herzegovina",MKD,BIH,28704,0,0,0,0,0,0
1993,"Netherlands (Kingdom of the)","Bosnia and Herzegovina",NLD,BIH,4668,0,0,0,0,0,0
1993,Pakistan,"Bosnia and Herzegovina",PAK,BIH,190,0,0,0,0,0,0
1993,Peru,"Bosnia and Herzegovina",PER,BIH,9,0,0,0,0,0,0
1993,Poland,"Bosnia and Herzegovina",POL,BIH,589,0,0,0,0,0,0
1993,Spain,"Bosnia and Herzegovina",ESP,BIH,583,0,0,0,0,0,0
1993,"Serbia and Kosovo: S/RES/1244 (1999)","Bosnia and Herzegovina",SRB,BIH,200901,0,0,0,0,0,0
1993,Slovenia,"Bosnia and Herzegovina",SVN,BIH,44321,0,0,0,0,0,0
1993,Sweden,"Bosnia and Herzegovina",SWE,BIH,29298,0,0,0,0,0,0
1993,"Syrian Arab Rep.","Bosnia and Herzegovina",SYR,BIH,207,0,0,0,0,0,0
1993,Türkiye,"Bosnia and Herzegovina",TUR,BIH,16773,0,0,0,0,0,0
1993,"United Arab Emirates","Bosnia and Herzegovina",ARE,BIH,5,0,0,0,0,0,0
1993,"United States of America","Bosnia and Herzegovina",USA,BIH,1887,0,0,0,0,0,0
1993,"Venezuela (Bolivarian Republic of)","Bosnia and Herzegovina",VEN,BIH,5,0,0,0,0,0,0
1993,Zimbabwe,"Bosnia and Herzegovina",ZWE,BIH,14,0,0,0,0,0,0
1994,"Bosnia and Herzegovina","Bosnia and Herzegovina",BIH,BIH,0,0,1282600,0,0,0,0
1994,Bulgaria,"Bosnia and Herzegovina",BGR,BIH,123,0,0,0,0,0,0
1994,Canada,"Bosnia and Herzegovina",CAN,BIH,6234,0,0,0,0,0,0
1994,Chile,"Bosnia and Herzegovina",CHL,BIH,8,0,0,0,0,0,0
1994,Cyprus,"Bosnia and Herzegovina",CYP,BIH,51,0,0,0,0,0,0
1994,Denmark,"Bosnia and Herzegovina",DNK,BIH,6048,0,0,0,0,0,0
1994,Germany,"Bosnia and Herzegovina",DEU,BIH,350000,0,0,0,0,0,0
1994,Croatia,"Bosnia and Herzegovina",HRV,BIH,183600,0,0,0,0,0,0
1994,Hungary,"Bosnia and Herzegovina",HUN,BIH,5,0,0,0,0,0,0
1994,Ireland,"Bosnia and Herzegovina",IRL,BIH,375,0,0,0,0,0,0
1994,Italy,"Bosnia and Herzegovina",ITA,BIH,8,0,0,0,0,0,0
1994,Jordan,"Bosnia and Herzegovina",JOR,BIH,265,0,0,0,0,0,0
1994,Kazakhstan,"Bosnia and Herzegovina",KAZ,BIH,5,0,0,0,0,0,0
1994,Libya,"Bosnia and Herzegovina",LBY,BIH,67,0,0,0,0,0,0
1994,"North Macedonia","Bosnia and Herzegovina",MKD,BIH,12793,0,0,0,0,0,0
1994,Malaysia,"Bosnia and Herzegovina",MYS,BIH,15,0,0,0,0,0,0
1994,"Netherlands (Kingdom of the)","Bosnia and Herzegovina",NLD,BIH,11134,0,0,0,0,0,0
1994,Peru,"Bosnia and Herzegovina",PER,BIH,9,0,0,0,0,0,0
1994,Spain,"Bosnia and Herzegovina",ESP,BIH,678,0,0,0,0,0,0
1994,"Serbia and Kosovo: S/RES/1244 (1999)","Bosnia and Herzegovina",SRB,BIH,98200,0,0,0,0,0,0
1994,Slovenia,"Bosnia and Herzegovina",SVN,BIH,29156,0,0,0,0,0,0
1994,Sweden,"Bosnia and Herzegovina",SWE,BIH,47793,0,0,0,0,0,0
1994,"Syrian Arab Rep.","Bosnia and Herzegovina",SYR,BIH,221,0,0,0,0,0,0
1994,Tunisia,"Bosnia and Herzegovina",TUN,BIH,6,0,0,0,0,0,0
1994,Türkiye,"Bosnia and Herzegovina",TUR,BIH,20000,0,0,0,0,0,0
1994,"United Arab Emirates","Bosnia and Herzegovina",ARE,BIH,6,0,0,0,0,0,0
1994,"United States of America","Bosnia and Herzegovina",USA,BIH,9248,0,0,0,0,0,0
1994,"Venezuela (Bolivarian Republic of)","Bosnia and Herzegovina",VEN,BIH,5,0,0,0,0,0,0
1994,Zimbabwe,"Bosnia and Herzegovina",ZWE,BIH,37,0,0,0,0,0,0
1995,Albania,"Bosnia and Herzegovina",ALB,BIH,45,0,0,0,0,0,0
1995,Egypt,"Bosnia and Herzegovina",EGY,BIH,5,0,0,0,0,0,0
1995,"Bosnia and Herzegovina","Bosnia and Herzegovina",BIH,BIH,0,0,1097800,0,0,0,0
1995,Canada,"Bosnia and Herzegovina",CAN,BIH,12171,0,0,0,0,0,0
1995,Chile,"Bosnia and Herzegovina",CHL,BIH,5,0,0,0,0,0,0
1995,Cyprus,"Bosnia and Herzegovina",CYP,BIH,43,0,0,0,0,0,0
1995,Denmark,"Bosnia and Herzegovina",DNK,BIH,23629,0,0,0,0,0,0
1995,France,"Bosnia and Herzegovina",FRA,BIH,649,0,0,0,0,0,0
1995,Germany,"Bosnia and Herzegovina",DEU,BIH,320000,0,0,0,0,0,0
1995,Croatia,"Bosnia and Herzegovina",HRV,BIH,193544,0,0,0,0,0,0
1995,Italy,"Bosnia and Herzegovina",ITA,BIH,8276,0,0,0,0,0,0
1995,Jordan,"Bosnia and Herzegovina",JOR,BIH,249,0,0,0,0,0,0
1995,Libya,"Bosnia and Herzegovina",LBY,BIH,16,0,0,0,0,0,0
1995,"North Macedonia","Bosnia and Herzegovina",MKD,BIH,9048,0,0,0,0,0,0
1995,Malaysia,"Bosnia and Herzegovina",MYS,BIH,16,0,0,0,0,0,0
1995,"Netherlands (Kingdom of the)","Bosnia and Herzegovina",NLD,BIH,18299,0,0,0,0,0,0
1995,"New Zealand","Bosnia and Herzegovina",NZL,BIH,135,0,0,0,0,0,0
1995,Peru,"Bosnia and Herzegovina",PER,BIH,17,0,0,0,0,0,0
1995,Spain,"Bosnia and Herzegovina",ESP,BIH,722,0,0,0,0,0,0
1995,"Serbia and Kosovo: S/RES/1244 (1999)","Bosnia and Herzegovina",SRB,BIH,84747,0,0,0,0,0,0
1995,Slovenia,"Bosnia and Herzegovina",SVN,BIH,18804,0,0,0,0,0,0
1995,Sweden,"Bosnia and Herzegovina",SWE,BIH,49340,0,0,0,0,0,0
1995,Switzerland,"Bosnia and Herzegovina",CHE,BIH,4499,0,0,0,0,0,0
1995,"Syrian Arab Rep.","Bosnia and Herzegovina",SYR,BIH,431,0,0,0,0,0,0
1995,Tunisia,"Bosnia and Herzegovina",TUN,BIH,21,0,0,0,0,0,0
1995,Türkiye,"Bosnia and Herzegovina",TUR,BIH,5614,0,0,0,0,0,0
1995,"United Arab Emirates","Bosnia and Herzegovina",ARE,BIH,5,0,0,0,0,0,0
