Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO","Procedure Type","Application type","Decision level",App_pc,Applied
2001,-,Iraq,-,IRQ,U,V,FI,P,8181
2001,-,Iraq,-,IRQ,G,V,FI,C,8814
2001,-,Iraq,-,IRQ,G,V,FI,P,19098
2001,-,Iraq,-,IRQ,G,V,AR,C,148
2001,-,Iraq,-,IRQ,G,V,FA,P,4103
2001,-,Iraq,-,IRQ,G,V,AR,P,124
2001,-,Iraq,-,IRQ,G,V,NA,P,17167
2001,-,Iraq,-,IRQ,G,V,RA,P,541
2001,-,Iraq,-,IRQ,U,V,FI,C,1164
2001,-,Iraq,-,IRQ,U,V,FA,P,116
2001,-,Iraq,-,IRQ,G,N,EO,C,564
2001,-,Iraq,-,IRQ,G,N,IN,C,584
2002,-,Iraq,-,IRQ,U,V,FI,P,5452
2002,-,Iraq,-,IRQ,G,V,FI,C,14812
2002,-,Iraq,-,IRQ,G,V,FI,P,19508
2002,-,Iraq,-,IRQ,G,V,AR,C,42
2002,-,Iraq,-,IRQ,G,V,FA,P,6410
2002,-,Iraq,-,IRQ,U,V,FA,P,174
2002,-,Iraq,-,IRQ,G,V,AR,P,86
2002,-,Iraq,-,IRQ,G,V,RA,P,444
2002,-,Iraq,-,IRQ,G,V,NA,P,10242
2002,-,Iraq,-,IRQ,U,V,FI,C,1501
2002,-,Iraq,-,IRQ,G,N,EO,P,606
2002,-,Iraq,-,IRQ,G,N,IN,C,534
2003,-,Iraq,-,IRQ,U,V,FI,P,4680
2003,-,Iraq,-,IRQ,G,V,FI,P,19865
2003,-,Iraq,-,IRQ,G,V,AR,C,6
2003,-,Iraq,-,IRQ,G,V,FA,P,1939
2003,-,Iraq,-,IRQ,G,V,AR,P,125
2003,-,Iraq,-,IRQ,G,V,RA,P,235
2003,-,Iraq,-,IRQ,G,V,NA,P,3850
2003,-,Iraq,-,IRQ,U,V,AR,P,5
2003,-,Iraq,-,IRQ,U,V,JR,P,104
2003,-,Iraq,-,IRQ,J,V,FI,P,15
2003,-,Iraq,-,IRQ,U,V,FI,C,986
2003,-,Iraq,-,IRQ,U,V,FA,P,103
2003,-,Iraq,-,IRQ,G,V,JR,P,95
2003,-,Iraq,-,IRQ,G,N,EO,P,555
2003,-,Iraq,-,IRQ,G,N,IN,C,298
2004,-,Iraq,-,IRQ,U,V,FI,P,7593
2004,-,Iraq,-,IRQ,G,V,FI,P,8140
2004,-,Iraq,-,IRQ,G,V,AR,C,147
2004,-,Iraq,-,IRQ,G,V,FA,P,630
2004,-,Iraq,-,IRQ,U,V,FA,P,482
2004,-,Iraq,-,IRQ,G,V,AR,P,157
2004,-,Iraq,-,IRQ,G,V,RA,P,157
2004,-,Iraq,-,IRQ,G,V,NA,P,1293
2004,-,Iraq,-,IRQ,U,V,FA,C,4496
2004,-,Iraq,-,IRQ,U,V,FI,C,9
2004,-,Iraq,-,IRQ,G,N,EO,P,110
2004,-,Iraq,-,IRQ,G,N,IN,C,158
2005,-,Iraq,-,IRQ,U,V,FI,P,7083
2005,-,Iraq,-,IRQ,U,V,FA,P,1104
2005,-,Iraq,-,IRQ,G,V,FI,P,9815
2005,-,Iraq,-,IRQ,G,V,AR,C,450
2005,-,Iraq,-,IRQ,G,V,FA,P,820
2005,-,Iraq,-,IRQ,G,V,AR,P,384
2005,-,Iraq,-,IRQ,G,V,JR,P,55
2005,-,Iraq,-,IRQ,G,V,RA,P,389
2005,-,Iraq,-,IRQ,G,V,NA,P,1983
2005,-,Iraq,-,IRQ,U,V,AR,P,5
2005,-,Iraq,-,IRQ,G,N,EO,P,131
2005,-,Iraq,-,IRQ,G,N,IN,C,229
2006,-,Iraq,-,IRQ,U,N,FI,P,10532
2006,-,Iraq,-,IRQ,G,N,FI,P,18128
2006,-,Iraq,-,IRQ,G,A,AR,C,6
2006,-,Iraq,-,IRQ,G,NR,FA,P,473
2006,-,Iraq,-,IRQ,G,A,AR,P,1234
2006,-,Iraq,-,IRQ,G,R,AR,P,12
2006,-,Iraq,-,IRQ,G,R,RA,P,505
2006,-,Iraq,-,IRQ,G,NA,NA,P,2117
2006,-,Iraq,-,IRQ,G,N,FA,P,1492
2006,-,Iraq,-,IRQ,U,NR,FA,P,967
2006,-,Iraq,-,IRQ,U,A,AR,P,151
2006,-,Iraq,-,IRQ,U,N,FA,P,22
2006,-,Iraq,-,IRQ,U,A,FA,P,18
2006,-,Iraq,-,IRQ,G,N,EO,P,204
2006,-,Iraq,-,IRQ,G,N,IN,C,307
2007,-,Iraq,-,IRQ,U,N,FI,P,5193
2007,-,Iraq,-,IRQ,U,A,AR,P,41
2007,-,Iraq,-,IRQ,G,N,FI,P,34215
2007,-,Iraq,-,IRQ,G,A,AR,C,11
2007,-,Iraq,-,IRQ,G,N,FA,P,2582
2007,-,Iraq,-,IRQ,G,A,SP,P,51
2007,-,Iraq,-,IRQ,U,N,FA,P,122
2007,-,Iraq,-,IRQ,G,NR,FA,P,538
2007,-,Iraq,-,IRQ,G,A,AR,P,945
2007,-,Iraq,-,IRQ,G,N,AR,P,20
2007,-,Iraq,-,IRQ,G,NA,FA,P,5
2007,-,Iraq,-,IRQ,G,R,RA,P,5606
2007,-,Iraq,-,IRQ,G,N,NA,P,4327
2007,-,Iraq,-,IRQ,U,A,FA,P,263
2007,-,Iraq,-,IRQ,J,FA,FA,P,5
2007,-,Iraq,-,IRQ,U,NR,FA,P,3967
2007,-,Iraq,-,IRQ,U,R,RA,P,76
2007,-,Iraq,-,IRQ,G,A,EO,P,315
2007,-,Iraq,-,IRQ,G,N,IN,C,433
2008,-,Iraq,-,IRQ,U,N,FI,P,8813
2008,-,Iraq,-,IRQ,G,N,FI,P,25324
2008,-,Iraq,-,IRQ,G,A,AR,C,6
2008,-,Iraq,-,IRQ,G,NR,FA,P,677
2008,-,Iraq,-,IRQ,G,SP,SP,C,23
2008,-,Iraq,-,IRQ,G,R,FI,P,350
