Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,Asylum-seekers,IDPs,"Other people in need of international protection","Stateless persons","Host community","Others of concern"
2001,Afghanistan,Iraq,AFG,IRQ,5,0,0,0,0,0,0
2001,Albania,Iraq,ALB,IRQ,7,0,0,0,0,0,0
2001,Algeria,Iraq,DZA,IRQ,9,0,0,0,0,0,0
2001,Egypt,Iraq,EGY,IRQ,36,44,0,0,0,0,0
2001,Argentina,Iraq,ARG,IRQ,18,0,0,0,0,0,0
2001,Armenia,Iraq,ARM,IRQ,5,0,0,0,0,0,0
2001,Australia,Iraq,AUS,IRQ,10504,885,0,0,0,0,0
2001,Austria,Iraq,AUT,IRQ,1769,0,0,0,0,0,0
2001,Azerbaijan,Iraq,AZE,IRQ,30,41,0,0,0,0,0
2001,Belgium,Iraq,BEL,IRQ,228,0,0,0,0,0,0
2001,Benin,Iraq,BEN,IRQ,5,0,0,0,0,0,0
2001,Belarus,Iraq,BLR,IRQ,0,7,0,0,0,0,0
2001,Brazil,Iraq,BRA,IRQ,73,14,0,0,0,0,0
2001,"Bosnia and Herzegovina",Iraq,BIH,IRQ,9,0,0,0,0,0,0
2001,Bulgaria,Iraq,BGR,IRQ,508,521,0,0,0,0,0
2001,Cambodia,Iraq,KHM,IRQ,5,0,0,0,0,0,0
2001,Canada,Iraq,CAN,IRQ,6001,436,0,0,0,0,0
2001,Chile,Iraq,CHL,IRQ,9,0,0,0,0,0,0
2001,Colombia,Iraq,COL,IRQ,0,5,0,0,0,0,0
2001,Cuba,Iraq,CUB,IRQ,5,0,0,0,0,0,0
2001,Cyprus,Iraq,CYP,IRQ,7,99,0,0,0,0,0
2001,Czechia,Iraq,CZE,IRQ,67,111,0,0,0,0,0
2001,Denmark,Iraq,DNK,IRQ,12567,1271,0,0,0,0,0
2001,Ecuador,Iraq,ECU,IRQ,10,30,0,0,0,0,0
2001,Finland,Iraq,FIN,IRQ,1922,0,0,0,0,0,0
2001,France,Iraq,FRA,IRQ,1629,0,0,0,0,0,0
2001,"United Kingdom of Great Britain and Northern Ireland",Iraq,GBR,IRQ,11955,0,0,0,0,0,0
2001,Germany,Iraq,DEU,IRQ,0,5454,0,0,0,0,0
2001,Greece,Iraq,GRC,IRQ,621,2711,0,0,0,0,0
2001,"China, Hong Kong SAR",Iraq,HKG,IRQ,5,0,0,0,0,0,0
2001,Croatia,Iraq,HRV,IRQ,6,0,0,0,0,0,0
2001,Hungary,Iraq,HUN,IRQ,258,293,0,0,0,0,0
2001,Iceland,Iraq,ISL,IRQ,6,0,0,0,0,0,0
2001,India,Iraq,IND,IRQ,24,0,0,0,0,0,0
2001,Indonesia,Iraq,IDN,IRQ,433,297,0,0,0,0,0
2001,Ireland,Iraq,IRL,IRQ,134,0,0,0,0,0,0
2001,"Iran (Islamic Rep. of)",Iraq,IRN,IRQ,386000,0,0,0,0,0,0
2001,Israel,Iraq,ISR,IRQ,6,0,0,0,0,0,0
2001,Italy,Iraq,ITA,IRQ,1138,0,0,0,0,0,0
2001,Jordan,Iraq,JOR,IRQ,942,4571,0,0,0,0,0
2001,Japan,Iraq,JPN,IRQ,6,0,0,0,0,0,0
2001,Kazakhstan,Iraq,KAZ,IRQ,6,0,0,0,0,0,0
2001,Kenya,Iraq,KEN,IRQ,0,5,0,0,0,0,0
2001,"Rep. of Korea",Iraq,KOR,IRQ,0,5,0,0,0,0,0
2001,Kuwait,Iraq,KWT,IRQ,304,5,0,0,0,0,13000
2001,Liberia,Iraq,LBR,IRQ,5,0,0,0,0,0,0
2001,Libya,Iraq,LBY,IRQ,55,7,0,0,0,0,0
2001,Lebanon,Iraq,LBN,IRQ,1828,2204,0,0,0,0,0
