Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO","Procedure Type","Application type","Decision level",App_pc,Applied
2012,-,Ukraine,-,UKR,G,N,FI,P,1114
2012,-,Ukraine,-,UKR,G,A,AR,C,28
2012,-,Ukraine,-,UKR,G,NA,FA,P,79
2012,-,Ukraine,-,UKR,G,R,RA,P,69
2012,-,Ukraine,-,UKR,G,NR,FA,P,5
2012,-,Ukraine,-,UKR,G,A,AR,P,114
2012,-,Ukraine,-,UKR,G,N,NA,P,124
2012,-,Ukraine,-,UKR,G,R,FI,P,5
2012,-,Ukraine,-,UKR,G,N,AR,P,26
2012,-,Ukraine,-,UKR,G,N,IN,C,274
2013,-,Ukraine,-,UKR,G,N,FI,P,851
2013,-,Ukraine,-,UKR,G,A,AR,C,10
2013,-,Ukraine,-,UKR,G,NR,FA,P,64
2013,-,Ukraine,-,UKR,G,R,RA,P,162
2013,-,Ukraine,-,UKR,G,A,AR,P,217
2013,-,Ukraine,-,UKR,G,N,NA,P,141
2013,-,Ukraine,-,UKR,G,N,SP,P,6
2013,-,Ukraine,-,UKR,G,N,FA,P,5
2013,-,Ukraine,-,UKR,G,N,RA,P,5
2013,-,Ukraine,-,UKR,G,N,TA,P,6
2013,-,Ukraine,-,UKR,G,N,EO,P,47
2013,-,Ukraine,-,UKR,G,N,IN,C,359
2014,-,Ukraine,-,UKR,G,N,FI,P,18702
2014,-,Ukraine,-,UKR,G,A,AR,C,42
2014,-,Ukraine,-,UKR,G,N,FA,P,463
2014,-,Ukraine,-,UKR,U,N,FI,P,27
2014,-,Ukraine,-,UKR,G,A,JR,C,51
2014,-,Ukraine,-,UKR,G,R,RA,P,501
2014,-,Ukraine,-,UKR,G,A,AR,P,715
2014,-,Ukraine,-,UKR,J,N,FI,P,6
2014,-,Ukraine,-,UKR,G,A,RA,P,10
2014,-,Ukraine,-,UKR,G,N,NA,P,2657
2014,-,Ukraine,-,UKR,G,N,SP,P,5
2014,-,Ukraine,-,UKR,G,N,TA,P,265448
2014,-,Ukraine,-,UKR,G,N,EO,P,69
2014,-,Ukraine,-,UKR,G,N,IN,C,1217
2015,-,Ukraine,-,UKR,G,N,FI,P,18778
2015,-,Ukraine,-,UKR,G,A,AR,C,75
2015,-,Ukraine,-,UKR,G,N,FA,P,1242
2015,-,Ukraine,-,UKR,G,R,RA,P,1197
2015,-,Ukraine,-,UKR,U,N,FI,P,53
2015,-,Ukraine,-,UKR,G,A,JR,C,163
2015,-,Ukraine,-,UKR,G,A,JR,P,11
2015,-,Ukraine,-,UKR,G,A,AR,P,1521
2015,-,Ukraine,-,UKR,G,A,RA,P,24
2015,-,Ukraine,-,UKR,G,J,JR,P,33
2015,-,Ukraine,-,UKR,G,N,NA,P,4569
2015,-,Ukraine,-,UKR,G,A,SP,P,8
2015,-,Ukraine,-,UKR,G,N,SP,P,5
2015,-,Ukraine,-,UKR,U,N,FA,P,5
2015,-,Ukraine,-,UKR,G,N,TA,P,148849
2015,-,Ukraine,-,UKR,G,R,FI,P,7
2015,-,Ukraine,-,UKR,G,N,EO,P,90
2015,-,Ukraine,-,UKR,G,N,IN,C,2111
2016,-,Ukraine,-,UKR,G,N,FI,P,10152
2016,-,Ukraine,-,UKR,G,A,AR,P,2622
2016,-,Ukraine,-,UKR,G,N,FA,P,7229
2016,-,Ukraine,-,UKR,G,A,JR,C,77
2016,-,Ukraine,-,UKR,G,R,RA,P,572
2016,-,Ukraine,-,UKR,G,A,JR,P,5
2016,-,Ukraine,-,UKR,G,A,RA,P,79
2016,-,Ukraine,-,UKR,G,A,AR,C,49
2016,-,Ukraine,-,UKR,G,N,NA,P,2389
2016,-,Ukraine,-,UKR,G,J,JR,P,13
2016,-,Ukraine,-,UKR,U,A,AR,P,5
2016,-,Ukraine,-,UKR,U,N,FI,P,21
2016,-,Ukraine,-,UKR,G,N,SP,P,8
