Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Ukraine,UKR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.09,71.474,71.803,72.686,73.389,73.993,73.569,73.92,73.283,71.631,72.658,73.422,74.692,..
Ukraine,UKR,GDP (current US$),NY.GDP.MKTP.CD,182591753827.949,190498811460.028,133503871861.723,91030967789.0717,93355869403.9223,112090505081.739,130891088293.55,153883047509.577,156617722013.342,199765859570.935,161989520721.19,181221517868.744,190741262414.705,..
Ukraine,UKR,GDP per capita (current US$),NY.GDP.PCAP.CD,3951.34228515625,4129.89697265625,3054.908203125,2094.47387695313,2158.46118164063,2604.28759765625,3059.0517578125,3619.86157226563,3709.76928710938,4775.94580078125,4199.6708984375,5139.59814453125,5389.47314453125,..
Ukraine,UKR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.529,7.17,9.27,9.14,9.35,9.5,8.799,8.194,9.475,9.834,..,..,..,..
Ukraine,UKR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.568727971803862,-0.238948626045407,12.0718562874251,48.6998646434424,13.9127101997797,14.4383227488749,10.9518559353178,7.88671745611133,2.73249209419427,9.36313917695223,20.1836366617478,12.8490222828559,6.50198464669254,..
Ukraine,UKR,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,16.5,12.5,13.8,22.7,21.6,17,14.7,10.6,11.3,..,..,..,..,..
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,
Last Updated: 04/08/2026,,,,,,,,,,,,,,,,,
